Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
19,Gyllene Tider,Music,Swedish,Movie,8.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",30-60 mins,Lasse Hallström,"Micke Andersson, Anders Herrlin, Göran Fritzson, Per Gessle",7.7,,19,,,,3/3/2021,,,,
20,False As Water,Drama,Swedish,Movie,7.9,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Hans Alfredson,"Marie Göranzon, Stellan Skarsgård, Sverre Anker Ousdal, Malin Ek",6.3,,546,3,,,3/3/2021,,,,
21,Bang!,Short Drama,,Movie,7.7,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Robert Breer,,5.6,,197,,,,3/3/2021,,,,
22,A Guest Is Coming,Thriller,Swedish,Movie,7.7,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Arne Mattsson,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",5.4,,46,,,,3/3/2021,,,,
23,1939,Drama,Swedish,Movie,7.6,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",> 2 hrs,Göran Carmback,"Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",5.5,,364,,,,3/3/2021,,,,
24,You Carry Me,Action,Croatian,Movie,8.1,"Argentina,Brazil,Sweden,Switzerland,Belgium,Netherlands,Spain,France,Germany,Iceland,Portugal,Slovakia,Lithuania,Czech Republic,Romania,Russia,India,Poland,Greece,South Africa,Singapore,Israel,United Kingdom,United States,Australia,Canada,Mexico,South Korea,Hong Kong,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",> 2 hrs,Ivona Juka,"Helena Beljan, Natasa Dorcic, Goran Hajdukovic, Lana Baric",7.1,81,1393,8,4,,7/1/2016,,,,
25,Indoo Ki Jawani,Comedy,Hindi,Movie,3.9,"Canada,Mexico,South Africa,Thailand,Turkey,Singapore,Argentina,Israel,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia",1-2 hour,Abir Sengupta,"Rakesh Bedi, Aditya Seal, Kiara Advani, Iqbal Khan",1.4,,3505,,,,3/2/2021,,,,
26,The Coroner,Crime,English,Series,7.8,Canada,< 30 minutes,,"Beatie Edney, Claire Goose, Oliver Gomm, Matt Bardock",7,,1328,,,,3/2/2021,,,,
27,Brave New World,Drama,English,Series,3.8,"Poland,Czech Republic,Hungary,Slovakia,Romania,India",< 30 minutes,,"Nina Sosanya, Harry Lloyd, Jessica Brown Findlay, Alden Ehrenreich",7.1,,9408,,,,3/2/2021,,,,
28,Comrades: Almost a Love Story,Drama,"Cantonese, Mandarin, English",Movie,6.7,South Korea,1-2 hour,Peter Ho-Sun Chan,"Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung",8.1,89,5047,23,8,"$17,676 ",3/1/2021,,,,
