Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
2149,Stray Bullet,Drama,Arabic,Movie,8,"Canada,Switzerland,Germany,Sweden,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,Japan,South Africa,Portugal,Czech Republic,Belgium,France,United States,Poland,Spain,Greece,Turkey,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia,Romania",1-2 hour,Georges Hachem,"Badi Abu-Shaqra, Badih Bouchakra, Takla Chamoun, Nadine Labaki",6.3,64,293,,2,,6/18/2020,,,,
2150,A Whisker Away,Fantasy,Japanese,Movie,5.7,"Belgium,Canada,Switzerland,Germany,Sweden,Iceland,Spain,Czech Republic,Greece,Hong Kong,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Hungary,Australia,Mexico,France,India,Japan,South Africa,Portugal,Poland,South Korea,United States,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",1-2 hour,"Jun'ichi Satô, Tomotaka Shibayama","Johnny Yong Bosch, Mirai Shida, Bob Buchholz, Natsuki Hanae",6.7,,5299,,1,,6/18/2020,,,,
2151,The Land,Drama,English,Movie,7.3,"Belgium,Canada,Germany,Sweden,Iceland,Czech Republic,Greece,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,France,Japan,Portugal,Spain,Poland,Turkey,Netherlands,Italy,Romania",> 2 hrs,Steven Caple Jr.,"Moises Arias, Rafi Gavron, Ezri Walker, Jorge Lendeborg Jr.",6.4,70,1607,2,3,"$43,756 ",6/18/2020,,,,
2152,The Emigrant,Drama,Arabic,Movie,8.1,"Canada,Switzerland,Germany,Sweden,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,Japan,South Africa,Portugal,Czech Republic,Belgium,United States,Poland,Spain,Greece,Turkey,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia,Romania",> 2 hrs,Youssef Chahine,"Mahmoud Hemida, Youssra, Khaled Nabawy, Michel Piccoli",6.7,74,878,4,,,6/18/2020,,,,
2153,Dark Waters,Biography,"English, Korean",Movie,3.7,"Belgium,Canada,Switzerland,Germany,Sweden,Iceland,Czech Republic,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,France,Japan,South Africa,Portugal,Spain,Greece,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",1-2 hour,Todd Haynes,"Tim Robbins, Anne Hathaway, Mark Ruffalo, Bill Pullman",7.6,,61794,,6,"$11,136,084 ",6/18/2020,,,,
2154,Destiny,Drama,Turkish,Movie,4.3,"Canada,Switzerland,Germany,Sweden,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,Japan,South Africa,Portugal,Czech Republic,Belgium,United States,Poland,Spain,Greece,Turkey,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia,Romania",> 2 hrs,Zeki Demirkubuz,"Engin Akyürek, Müge Ulusoy, Ufuk Bayraktar, Vildan Atasever",7.9,95,12429,10,9,,6/18/2020,,,,
2155,Stretch Armstrong and the Flex Fighters,Action,English,Series,8.1,"Brazil,Spain,United Kingdom,Australia,Argentina,Singapore,France,Germany,Canada,Czech Republic,India,Netherlands,Sweden,Poland,United States,Lithuania,Hong Kong,Russia,Slovakia,Hungary,Israel,Japan,Romania,Mexico,South Korea,Greece,Belgium,Switzerland,Portugal,South Africa,Iceland,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,,"Ogie Banks, Wil Wheaton, Scott Menville, Steven Yeun",6.4,,260,,,,11/17/2017,,,,
2156,The Blazing Sun,Western,English,Movie,8.1,"Belgium,Canada,Switzerland,Germany,Sweden,Iceland,Czech Republic,Greece,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,France,Japan,South Africa,Portugal,Spain,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",1-2 hour,John English,"Gene Autry, Lynne Roberts, Anne Gwynne, Champion",6.2,,74,,,,6/18/2020,,,,
2157,Cairo Station,Crime,Arabic,Movie,7.6,"Belgium,Canada,Germany,Sweden,Iceland,Czech Republic,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,France,Japan,South Africa,Portugal,Spain,Greece,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",1-2 hour,Youssef Chahine,"Farid Shawqi, Youssef Chahine, Hind Rustum, Hassan el Baroudi",7.6,100,3598,,1,,6/18/2020,,,,
2158,Alexandria ... Why?,Drama,"Arabic, English",Movie,8,"Belgium,Canada,Switzerland,Germany,Sweden,Iceland,Czech Republic,Greece,Hong Kong,Hungary,India,Singapore,Thailand,Lithuania,Argentina,Russia,United Kingdom,Slovakia,Australia,Mexico,France,Japan,South Africa,Portugal,Spain,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",> 2 hrs,Youssef Chahine,"Farid Shawqi, Ahmed Zaki, Naglaa Fathi, Mahmoud Al Meleji",7.4,,1420,2,2,,6/18/2020,,,,
2159,Snowing!,Short Drama,Mandarin,Movie,,"Czech Republic,Slovakia",1-2 hour,Sheng Chun Huang,"Genervive Lau, Anne Wang",,,,,1,,6/17/2020,,,,
2160,Querência,History,Spanish,Movie,9.1,Brazil,1-2 hour,,"Sigrid Alegría, Julio Milostich, Patricia López, Álvaro Rudolphy",8.3,,96,2,3,,3/4/2021,,,,
2161,Murder Among the Mormons,Crime,English,Series,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,,,,,,,,3/4/2021,,,,
2162,So Different,Animation,,Movie,,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Don Arioli,,,,,,,,3/3/2021,,,,
2163,Skanör Falsterbo,Comedy,Swedish,Movie,7.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Emil A. Lingheim,"Rut Holm, Edvard Persson, John Degerberg, Arthur Fischer",5.1,,15,,,,3/3/2021,,,,
2164,The Jönsson Gang & Dynamite Harry,Crime,"Swedish, German",Movie,6.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,Mikael Ekman,"Gösta Ekman, Ulf Brunnberg, Björn Gustafson, Birgitta Andersson",6.2,,3471,,,,3/3/2021,,,,
2165,The Jönsson Gang In Mallorca,Crime,Swedish,Movie,6.3,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,Mikael Ekman,"Gösta Ekman, Björn Gustafson, Ulf Brunnberg, Birgitta Andersson",5.9,,3343,,,,3/3/2021,,,,
2166,The Pram,Short Drama,English,Movie,,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Matt Platts-Mills,,,,,,,,3/3/2021,,,,
2167,Beware of the Jönsson Gang,Crime,Swedish,Movie,6.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Jonas Cornell,"Siw Malmkvist, Gösta Ekman, Ulf Brunnberg, Nils Brandt",6.3,,3523,,,,3/3/2021,,,,
2168,Best Before,Music,English,Movie,,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,,Phil Taggart,,,,,,,3/3/2021,,,,
2169,Heilstätten,Horror,German,Movie,6.5,"Germany,Switzerland",1-2 hour,Michael David Pate,"Sonja Gerhardt, Farina Flebbe, Maxine Kazis, Nilam Farooq",4.2,,1266,,,,3/1/2021,,,,
2170,The Clockmaker,Mystery,English,Movie,,"France,Belgium",1-2 hour,Mo Faisal,"Christian Cibotti, Alissa Luckey, Jordan Greeley, Paul Noonan",,,,2,1,,3/1/2021,,,,
2171,Do You Like Brahms?,Drama,Korean,Series,8.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland",< 30 minutes,,"Ji-Hyun Park, Eun-bin Park, Sung-Cheol Kim, Min-Jae Kim",7.9,,316,,,,3/1/2021,,,,
2172,Connected,Crime,"Cantonese, Mandarin, English",Movie,7.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,Russia,Iceland,Canada,Mexico,Argentina,Switzerland,Brazil,Colombia,United States",30-60 mins,Benny Chan,"Louis Koo, Ye Liu, Barbie Hsu, Nick Cheung",6.6,73,1961,4,5,,3/1/2021,,,,
2173,Metamorphosis,Fantasy,"English, Hungarian",Movie,5.7,South Korea,1-2 hour,Jenö Hodi,"Jennifer Higham, Christopher Lambert, Corey Sevier, Irena Violette",3.6,17,1204,4,,,2/28/2021,,,,
2174,Happy Little Submarine Magic Box of Time,Animation,Mandarin,Movie,,South Korea,1-2 hour,Zili He,"Churong Fan, Yanhua Wang, Haitian Hong",,,,,,,2/28/2021,,,,
2175,Baby Beside Me,Drama,Korean,Movie,,South Korea,1-2 hour,Tae-Gyum Son,"Min-Yeong Ahn, Kwi-Jung Choo, Yeon-ju Jung, Yi-Kyeong Lee",,,,,2,,2/28/2021,,,,
2176,Emilio Guzman - Kom dan!,Documentary,Dutch,Movie,7.8,"Belgium,Netherlands",1-2 hour,"Jan Gitsels, Laura van Dolron",Emilio Guzman,5.7,,10,,,,2/28/2021,,,,
2177,"Game Over, Man!",Action,English,Movie,1.7,"Brazil,Spain,United Kingdom,Canada,United States,Argentina,Russia,Australia,Sweden,Slovakia,India,Hong Kong,Netherlands,France,Lithuania,Singapore,Poland,Germany,Czech Republic,Hungary,Israel,Japan,Romania,Mexico,Belgium,Greece,South Korea,Switzerland,Portugal,South Africa,Iceland,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,Kyle Newacheck,"Adam Devine, Blake Anderson, Chloe Bridges, Anders Holm",5.4,18,26414,,2,,3/23/2018,,,,
2178,Crazy About Her,Comedy,Spanish,Movie,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",1-2 hour,Dani de la Orden,"Susana Abaitua, Álvaro Cervantes, Clara Segura, Luis Zahera",,,,,,,2/27/2021,,,,
2179,Stretch Armstrong: The Breakout,Action,English,Movie,8.1,"Brazil,Spain,United Kingdom,Canada,United States,Russia,France,Germany,Australia,Netherlands,Czech Republic,Sweden,Poland,Slovakia,Argentina,Lithuania,India,Singapore,Israel,Hong Kong,Japan,Romania,Mexico,South Korea,Greece,Belgium,Switzerland,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",30-60 mins,,"Ogie Banks, Wil Wheaton, Scott Menville, Steven Yeun",6.4,,260,,,,3/13/2018,,,,
2180,Bright,Action,"English, Spanish",Movie,2,"Brazil,Spain,United Kingdom,Germany,France,Canada,Netherlands,Czech Republic,Sweden,Singapore,Argentina,Poland,India,Hong Kong,United States,Lithuania,Australia,Russia,Slovakia,Hungary,Japan,Romania,Belgium,Mexico,South Korea,Greece,Switzerland,Portugal,South Africa,Iceland,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,David Ayer,"Will Smith, Noomi Rapace, Joel Edgerton, Edgar Ramírez",6.3,27,169376,1,7,,12/22/2017,,,,
2181,Ginny & Georgia,Animation,English,Series,7.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,Susi Jirkuff,"Georgi Nightingall, Howard Nightingall",5.3,,7,,,,2/25/2021,,,,
2182,Canine Intervention,Reality-TV,English,Series,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,Jas Leverette,,,,,,,2/25/2021,,,,
2183,Age of Samurai: Battle for Japan,Documentary,,Series,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,"Hiro Kanagawa, Hayate Masao, Masami Kosaka, Masayoshi Haneda",,,,,,,2/25/2021,,,,
2184,Livet är en schlager,Documentary,Swedish,Movie,,"Lithuania,Poland,France,Italy,Spain,Portugal,Iceland,Czech Republic,Netherlands,Germany,Greece,Belgium",1-2 hour,Elsa Stille,"Fredrik Kempe, Jonas Gardell, Peter Jöback, Helen Sjöholm",,,,,,,2/24/2021,,,,
2185,Pelé,Documentary,"English, Portuguese",Movie,9,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia,Netherlands",1-2 hour,"Ben Nicholas, David Tryhorn",Pelé,8,,39,,,,2/24/2021,,,,
2186,Brian Regan: On the Rocks,Comedy,English,Movie,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Netherlands",30-60 mins,Troy Miller,Brian Regan,,,,,,,2/24/2021,,,,
2187,Vlastníci,Comedy,Czech,Movie,8.3,"Czech Republic,Slovakia",1-2 hour,Jirí Havelka,"Vojtech Kotek, Jirí Lábus, Tereza Ramba, Dagmar Havlová",7.2,,545,4,9,,2/23/2021,,,,
2188,Vincenzo,Crime,Korean,Series,,"Iceland,Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States",< 30 minutes,,"Duk-moon Choi, Taecyeon, Song Joong-Ki, Yeo-bin Jeon",,,,,,,2/21/2021,,,,
2189,Z Nation,Action,English,Series,3.4,"Brazil,United States,Canada,Mexico,Argentina,United Kingdom,Australia,Sweden,Switzerland,France,Belgium,Netherlands,Spain,Germany,Iceland,Portugal,Lithuania,Slovakia,Hungary,Poland,Czech Republic,Romania,Russia,Greece,South Africa,India,Singapore,Israel,Hong Kong,South Korea,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,,"Keith Allan, Russell Hodgkinson, Kellita Smith, Nat Zang",6.7,,32830,,,,4/14/2015,,,,
2190,Pitta Kathalu,Drama,Telugu,Series,7.3,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,"Sankalp Reddy, B.V. Nandini Reddy, Nag Ashwin, Tharun Bhascker Dhaassyam","Abhay Bethiganti, Lakshmi Manchu, Saanve Megghana, Jagapathi Babu",5,,385,,,,2/20/2021,,,,
2191,Moms Café,Comedy,English,Series,3.6,South Korea,< 30 minutes,,"Mimi Kennedy, Anna Faris, Allison Janney, Beth Hall",7.2,,28570,11,35,,2/19/2021,,,,
2192,O Homem das Multidões,Drama,Portuguese,Movie,8.5,Brazil,1-2 hour,"Cao Guimarães, Marcelo Gomes","Sílvia Lourenço, Paulo André, Jean-Claude Bernardet",6.5,80,199,4,2,,2/19/2021,,,,
2193,Biking Borders,Documentary,German,Movie,,"Poland,France,Italy,Spain,Greece,Belgium,Portugal,Sweden,Netherlands,Thailand,Germany,Turkey,Romania,Israel,Switzerland,Japan,Mexico,Argentina,Brazil,Colombia",1-2 hour,Max Jabs,"Nono Konopka, Max Jabs",,,,,,,2/19/2021,,,,
2194,Thus Spoke Kishibe Rohan,Fantasy,Japanese,Series,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,,,,,,,,2/19/2021,,,,
2195,Becoming Duru,Documentary,Turkish,Movie,8.1,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,Australia,United Kingdom,Malaysia,India,Hong Kong,Japan,Russia,Iceland,Canada,Mexico,Argentina,Brazil,Colombia,United States",1-2 hour,Mu Tunc,"Teoman, Nükhet Duru, Kenan Dogulu, Sila",6.2,,60,,,,2/19/2021,,,,
2196,"Hello, Me!",Fantasy,Korean,Series,8.2,"Iceland,Canada,South Africa,Thailand,Singapore,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,South Korea,United States",< 30 minutes,,"Kim Young-kwang, Kang-hee Choi, Re Lee, Eum Moon Suk",6.4,,31,,,,2/18/2021,,,,
2197,Amend: The Fight for America,Documentary,English,Series,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,Will Smith,,,,,,,2/18/2021,,,,
2198,Raiders of the Wu Gorge,Fantasy,Mandarin,Movie,,South Korea,1-2 hour,Wei Li-Zhou,"Zhao Zuo, Yu Xin-yan",,,,,,,2/17/2021,,,,
2199,Cobra Kai,Action,English,Series,4.3,"Brazil,United States,Spain,Czech Republic,Israel,Lithuania,Mexico,Australia,Poland,South Africa,France,Iceland,Thailand,India,Italy,Singapore,Hong Kong,Greece,Argentina,Japan,Belgium,United Kingdom,Portugal,South Korea,Hungary,Russia,Slovakia,Netherlands,Germany,Sweden,Canada,Switzerland,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,"Ralph Macchio, William Zabka, Xolo Maridueña, Courtney Henggeler",8.6,,109970,,11,,8/28/2020,,,,
2200,En folkefiende,Drama,Norwegian,Movie,8.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Per Bronken,"Sigve Bøe, Arne Bang-Hansen, Wilfred Breistrand, Unni Evjen",7.1,,7,,,,2/17/2021,,,,
2201,Animals on the Loose: A You vs. Wild Movie,Adventure,English,Movie,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,Australia,Brazil,United Kingdom,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",> 2 hrs,,Bear Grylls,,,,,,,2/17/2021,,,,
2202,Berlin Alexanderplatz,Crime,German,Movie,7.3,Germany,> 2 hrs,,"Claus Holm, Franz Buchrieser, Günter Lamprecht, Hanna Schygulla",8.6,,4035,2,4,,2/16/2021,,,,
2203,Second Opinion,Short Drama,English,Movie,,"Germany,Switzerland",1-2 hour,Bryan Louie,"Alisha Seaton, Katie Kline, Shawn Feehly",,,,,,,2/15/2021,,,,
2204,Namaste Wahala,Romance,English,Movie,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,Hamisha Daryani Ahuja,"Richard Mofe-Damijo, Joke Silva, Ruslaan Mumtaz, Ini Dima Okojie",,,,,,,2/15/2021,,,,
2205,Xicos Journey,Short Drama,Portuguese,Movie,,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Slovakia,Mexico,Sweden,South Africa,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,Francisco Morgado,"Ana Padrão, João Sá Nogueira, Bárbara Lourenço",,,,,,,2/13/2021,,,,
2206,To All The Boys: Always And Forever,Comedy,English,Movie,4.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Slovakia,Mexico,Sweden,South Africa,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,Michael Fimognari,"Anna Cathcart, Noah Centineo, Lana Condor, Janel Parrish",6.4,,7266,,,,2/13/2021,,,,
2207,Nadiya Bakes,Documentary,English,Series,8.4,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Slovakia,Mexico,Sweden,South Africa,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,Nadiya Hussain,6.8,,80,,,,2/13/2021,,,,
2208,Hate by Dani Rovira,Comedy,Spanish,Movie,8.3,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Slovakia,Mexico,Sweden,South Africa,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,,Dani Rovira,6.8,,111,,,,2/13/2021,,,,
2209,Buried by the Bernards,Reality-TV,English,Series,8.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Slovakia,Mexico,Sweden,South Africa,Netherlands,Thailand,Germany,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,,"Deja Bernard, Debbie Bernard, Raegan Bernard, Ryan Bernard",7.3,,187,,,,2/13/2021,,,,
2210,Squared Love,Comedy,Polish,Movie,6.7,"Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Canada,Slovakia,Mexico,Sweden,Netherlands,South Africa,Germany,Turkey,Thailand,Romania,Singapore,Argentina,Australia,Israel,Brazil,Switzerland,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,France",1-2 hour,Filip Zylber,"Adrianna Chlebicka, Agnieszka Zulewska, Mateusz Banasiuk, Krzysztof Czeczot",5,,1638,,,,2/12/2021,,,,
2211,Red Dot,Drama,"Swedish, English",Movie,5.1,"Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Canada,Slovakia,Mexico,Sweden,Netherlands,South Africa,Germany,Turkey,Thailand,Romania,Singapore,Argentina,Australia,Israel,Brazil,Switzerland,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,France",1-2 hour,Alain Darborg,"Johannes Kuhnke, Nanna Blondell, Anastasios Soulis, Kalled Mustonen",5.5,,5356,,,,2/12/2021,,,,
2212,Layla Majnun,Drama,Indonesian,Movie,,"Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Canada,Slovakia,Mexico,Sweden,Netherlands,South Africa,Germany,Turkey,Thailand,Romania,Singapore,Argentina,Australia,Israel,Brazil,Switzerland,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia,France",1-2 hour,Monty Tiwa,"Acha Septriasa, Reza Rahadian, Baim Wong, Dian Nitami",,,,,,,2/12/2021,,,,
2213,"Front OK, Behind OK",Crime,Indonesian,Movie,8.3,"Thailand,Singapore,Malaysia",1-2 hour,H. Tjut Djalil,"Eva Arnaz, Indro Warkop, Kasino Warkop, Dono Warkop",6.7,,36,,,,2/11/2021,,,,
2214,Bad Joke,Short Drama,French,Movie,,Slovakia,1-2 hour,Adrien Caulier,"Adrien Caulier, Théophile Tozzi",,,,,,,2/11/2021,,,,
